Category,Problem List Item,BraveEve's Conversational Question,Verbatim,Yes,No
Introduction,,"Hello [Name]. I would like to ask you a few simple questions about how you have been feeling lately. Sometimes cancer and treatment can affect the body, mind, emotions, daily life, relationships, or even faith. We call these feelings distress. There are no right or wrong answers. Just share whatever feels true for you.",,,
Distress Level,,"Thinking about the past week, including today, how much distress have you been feeling? Please choose a number from 0 to 10. 0 means no distress, 5 means moderate distress, and 10 means extreme distress.","""You feel everything is distress, everything is unorganized, nothing is in place, and I don't know what I am doing."" ","Thank you for sharing that, [Name]. Now I’ll ask a few questions to understand what may be causing this distress.",
Physical,Pain,"We all get body pain sometimes. [Name], did you have any body pain in the past week?","A person undergoing chemotherapy said, ""I would have body pain and would be in bed most of the time."" ",Thank you for telling me. It can be hard when your body hurts. You are doing your best today,That’s really good to hear. I’m happy your body feels okay.
Physical,Sleep,"Have you had trouble sleeping at night, [Name]?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",I understand [Name]. Not sleeping well makes the whole day hard. Please try to rest when you can.,"That is good to hear, [Name]. Good sleep can help you feel fresh in the morning."
Physical,Fatigue,"[Name], do you feel weak or tired in the past week?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",It is okay to feel weak right now. Please give your body the rest it is asking for today.,"That is good to hear, [Name]. I am glad you have some energy today."
Physical,Tobacco use,"Do you use cigarettes, beedi, gutka, paan, or chewing tobacco now?","A person shared that when they feel upset or stressed, they may use gutka, paan, or chewing tobacco. They said, ""Usage of gutka, paan, and chewing tobacco.""","Thank you for telling me, [Name]. It is okay to feel this way. You are not being judged.","That is good to hear,, [Name]. I’m glad you’re taking care of your health."
Physical,Substance use,"[Name], sometimes people may use alcohol or tablets not given by a doctor when they feel upset or stressed. In this past week, have you had to use anything like this to feel better?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for telling me, [Name]. This can be hard. You are not alone, and help is there for you.","[Name], I am glad to know that. Thank you for sharing this with me."
Physical,Memory/Concentration,"[Name], this past week, are you having trouble remembering things or paying attention?","A person getting chemotherapy said she had trouble remembering things. ""All throughout the chemotherapy, suddenly, you have no memory. You will be sitting in a place and wondering where you are."" ","Thank you for telling me, [Name]. Some people have trouble remembering things during treatment. You are not alone.","That is good to hear, [Name]. I am glad you are able to remember things and pay attention."
Physical,Sexual health,"[Name], this next question is personal, but many people have changes after treatment. Have you had any problem being close with your husband or partner?","A person getting cancer treatment said she had dryness, burning, and no interest in being close with her husband or partner. She said, ""Vaginal dryness, even today, I have the vaginal dryness. I have a burning sensation. Then I had no desire for sex; it completely became nil."" ","Thank you for telling me, [Name]. Changes like this can happen after treatment. You are not alone.","That is good to hear, [Name]. I am glad things feel okay for you now."
Physical,Changes in eating,"[Name], in the past week, are you eating more or less than usual?","A person getting cancer treatment said she could not eat many foods. She ate soft food like rice and rava kanji. She said, ""I couldn't eat the food. I would eat rice and rava kanji (porridge). I wasn't eating any spicy food. I would eat fruits."" 
A person getting cancer treatment said mouth sores and pain made it hard for her to eat. She said, ""With all those mouth ulcers and pain I was not eating food."" ",Eating can become hard some days. You can try small amounts of soft food slowly.,That brings a smile to my face! Eating well can help your body stay strong.
Physical,Loss or change of physical abilities,"[Name], past week, is it getting harder to walk, bathe, or move around?","A person getting cancer treatment said she had trouble walking. She said, ""I couldn’t walk but slowly I would go."" 
Another person said bathing became slow and difficult. She said, ""If I go to bath I would take long time, slowly I used to do it."" ","[Name], thank you for telling me. It’s completely understandable. It is okay to take your time. Please move slowly when you need to.","That is good to hear, [Name]. I am glad you are able to move around."
Emotional,Worry/Anxiety,"Now, [Name], I’d like to ask how you have been feeling inside. You can pause and continue later if you feel tired. In the past week, have you felt very worried or tense?","A person with cancer said she was worried about telling her family about her illness. ""I was worried about telling my elderly parents and in-laws that I have cancer."" ","I understand, [Name]. It is okay to feel worried. Take one slow breath and rest for a moment.","That is good to hear, [Name]. I am glad you have been feeling calm."
Emotional,Sadness/Depression,"Sometimes people feel sad or low, [Name]. In the past week, have you felt this way?","A person getting cancer treatment said hair fall made her feel sad. She said, ""Most of my hair started to fall off. I would feel sad seeing the hair fall."" 
Another person said she felt sad and felt that everything around her had changed. She said, ""You don't know what is happening to you, you feel everything is different. You feel my family is not feeling good, my husband is not good and the entire family was is not feeling good, is the feeling you get. Actually, the house is normal. It is you only suffering it."" ","Thank you for telling me, [Name]. It is okay to cry. You are not alone.","That is good to hear, [Name]. I am glad you are feeling okay."
Emotional,Loss of interest or enjoyment,"[Name], I want to ask about things you like to do, such as watching TV or talking to neighbours. In the past week, have you stopped enjoying these things?","A person getting cancer treatment said she could not enjoy even watching TV. She said, ""I couldn’t even watch TV."" ",I understand. Some days it is hard to enjoy things. Please take it slowly.,"That is good to hear, [Name]. I am glad you are able to enjoy things you like."
Emotional,Grief or loss,"[Name], in the past week, have you felt sad because you lost someone or something important?","A person with cancer felt deep sadness and worry about what may happen to her. She said, ""I cried because I was worried.""","Thank you for telling me, [Name]. It is okay to feel sad. Please take a slow breath and rest for a while.","That is good to hear, [Name]. I am glad you are feeling okay now."
Emotional,Fear,"[Name], in the past week, have you felt scared about what may happen next?","A person with cancer said she was very scared because she had never had surgery before. She said, ""I was afraid because I had not undergone any surgery in my lifetime. Because of the fear, my blood pressure and glucose level had increased."" ","It is okay to feel scared. You are not alone in this, we are here to support you.","That is good to hear, [Name]. I am glad you are not feeling scared now."
