Category,Problem List Item,BraveEve's Conversational Question,Yes,No,Verbatim
Physical,Pain,"We all get body pain sometimes. [Name], is your body feeling any pain or soreness lately?","Thank you for telling me. It is hard when the body hurts, and you are being so incredibly strong just by getting through today.",That's really good to hear. I'm happy your body feels more comfortable.,"A person undergoing chemotherapy said, ""I would have body pain and would be in bed most of the time."""
Physical,Pain,"Dealing with a sick body is not easy, [Name]. Lately, has any part of your body been hurting, aching, or feeling very sore?","Thank you for telling me. It is hard when the body hurts, and you are being so incredibly strong just by getting through today.",That is wonderful to hear! I am so happy that your body is feeling comfortable and relaxed today.,"A person undergoing chemotherapy said, ""I would have body pain and would be in bed most of the time."""
Physical,Pain,"Sometimes our body feels heavy and hurts when we are unwell. [Name], have you had any pain or body aches recently?","Dealing with physical pain takes a lot of mental strength, and you are doing an amazing job handling things one moment at a time.",That is very good news! It is a big relief when the body feels light and free of any aches.,"A person undergoing chemotherapy said, ""I would have body pain and would be in bed most of the time."""
Physical,Pain,"[Name], I want to check on how your body is feeling. In these past few days, have you had any discomfort or pain anywhere?","Please be very gentle with yourself today. When the body is aching, resting quietly is the best thing you can do for yourself.",I am so glad to know that! Having a pain-free day brings so much peace to the mind and body.,"A person undergoing chemotherapy said, ""I would have body pain and would be in bed most of the time."""
Physical,Pain,"It can be hard to manage daily tasks when the body is hurting. [Name], have you noticed any body pain or soreness this week?","Thank you for sharing this with me. Please take a comfortable position, breathe easy, and let your body rest as much as possible.",That brings a big smile to my face. It is great that your body is feeling so comfortable right now.,"A person undergoing chemotherapy said, ""I would have body pain and would be in bed most of the time."""
Physical,Sleep,Have you been staying awake a lot at night or finding it hard to sleep peacefully?,"I understand [Name]. Not sleeping well makes the whole day feel very heavy, so please do not force yourself to do too much today.",That is wonderful! A good night's rest gives so much energy for the morning.,"A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" "
Physical,Sleep,"Getting good rest helps the body heal, [Name]. This past week, has it been difficult for you to fall asleep or sleep soundly through the night?","I understand, [Name]. Not sleeping well makes the whole day feel very heavy, so please do not force yourself to do too much today.",That is wonderful! A good night's rest gives so much energy for the morning.,"A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" "
Physical,Sleep,"[Name], how has your rest been at night? Have you been waking up a lot without getting proper sleep?",Please don't take any tension if sleep is running away right now. Just lie down comfortably and let your mind drift gently without any hurry.,That is excellent to hear. Sleeping soundly is the best way for your body to recover its natural strength.,"A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" "
Physical,Sleep,"[Name], did you find it hard to get a good night's sleep this week?","It can be quite tiring when sleep is broken at night. On days like this, it is completely okay to take small naps during the daytime.","I am so happy for you, [Name]. Waking up feeling refreshed is a very beautiful way to start the day.","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" "
Physical,Sleep,"[Name], have you been staying awake for a long time in the night or not able to sleep?","Thank you for telling me. A heavy night makes the morning feel slow, so please take things very easy and rest whenever you can today.",That is great news! Having a peaceful and undisturbed sleep is a big blessing for your health.,"A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" "
Physical,Fatigue,"[Name], do you feel weak or tired most of the day recently?",It is completely normal to feel weak right now. Please give your body the rest it is asking for today.,Having good energy is a great sign! That shows your body is finding its strength.,"A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" "
Physical,Fatigue,"When we are unwell, our energy can go low really fast. [Name], have you been feeling very weak, tired, or low on energy during the day?",It is completely normal to feel weak right now. Please give your body the rest it is asking for today.,Having good energy is a great sign! That shows your body is finding its strength.,"A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" "
Physical,Fatigue,"[Name], did you feel that even small movements or daily tasks are making you feel completely tired or drained this week?","Your body is working very hard on the inside to heal, so feeling tired is completely natural. Just relax and do not push yourself.","That is amazing, [Name]. It is so wonderful to see you moving around with a nice and active energy today.","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" "
Physical,Fatigue,"Sometimes the body just refuses to move because of weakness. [Name], has your body felt unusually weak or tired most of the time lately?",Please do not feel guilty for staying in bed today. Listening to your tiredness and resting is exactly what your body needs right now.,I am very happy to hear that! Feeling fresh and active helps you enjoy your day so much more.,"A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" "
Physical,Fatigue,"[Name], in this past week, did you feel that you just don't have enough strength or power in your body to do your usual things?","Thank you for sharing this. It takes a lot of patience to deal with low energy, and you are doing great just by taking it day by day.",That is a very positive sign. It is wonderful that your body is feeling strong and full of life right now.,"A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" "
Physical,Tobacco use,"To better understand your health, may I ask - do you currently use cigarettes, beedi, or any smokeless forms like gutka, paan, or chewing tobacco?",I appreciate your response. Please feel comfortable - your feelings are completely valid and respected.,"That's really wonderful to know, [Name]. I'm glad you're taking care of yourself and listening to your body.","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco."" "
Physical,Tobacco use,"To get a clear understanding of your health, [Name], do you currently smoke cigarettes, bidi, or use chewing items like gutka, khaini, or paan?",I appreciate your response. Please feel comfortable - your feelings are completely valid and respected.,"That's really wonderful to know, [Name]. I'm glad you're taking care of yourself and listening to your body.","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco."" "
Physical,Tobacco use,"[Name], may I ask if you have a habit of using tobacco in any form, like smoking cigarettes, beedi, or chewing packets from the shop?","Thank you for sharing this honestly with me. Your openness helps us understand your routine better, and your privacy is always fully respected.","That is excellent, [Name]. Keeping away from these habits is a wonderful way to protect your health and wellbeing.","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco."" "
Physical,Tobacco use,"Sometimes people use small habits to cope with daily stress. [Name], do you currently use any tobacco products, bidi, cigarettes, or paan masala?","I hear you clearly, [Name]. Thank you for speaking so openly with me today; your personal thoughts and answers are always respected here.",That is very good to hear. It is wonderful that you are keeping your body clean and focused on healthy habits.,"A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco."" "
Physical,Tobacco use,"[Name], please feel free to tell me - do you take any smoking items or smokeless tobacco like gutka or paan these days?","Thank you for your honesty. There is absolutely no judgment here, and we completely respect you for sharing your daily routine so transparently.","That is great, [Name]! It sounds like you are making wonderful choices to keep your body feeling healthy and strong.","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco."" "
Physical,Substance use,"Taking a small step forward, [Name]. Sometimes when the body or mind feels heavy, people drink a little alcohol or take extra tablets from the shop to feel relaxed. In this past week, did you have to use anything like that to help you cope?","Thank you for being so honest with me, [Name]. It takes a lot of strength to handle this, and your body deserves all the quiet rest it can get right now.","[Name], I am glad to know that. Thank you for sharing this with me.","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head"""
Physical,Substance use,"When life gets heavy, people sometimes try small ways to relax. [Name], this week did you take any alcohol or extra sleeping pills to help you cope?","Thank you for being so honest with me, [Name]. It takes a lot of strength to handle this, and your body deserves all the quiet rest it can get right now.","[Name], I am glad to know that. Thank you for sharing this with me.","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head"""
