text,label
not really a bit,NO
i haven't noticed anything these days,NO
i'm managing well,NO
i feel good,NO
i'm resting well sometimes,NO
i feel uncomfortable,YES
idk kind of,NO
i feel low these days honestly,YES
I don't have any hope now I have left everything to god,YES
things are going alright.,NO
i'm okay these days kind of,NO
i'm okay for now honestly,NO
I feel weak sometimes,YES
i don't feel well a bit,YES
i've been feeling alright a bit,NO
there has been some pain a bit,YES
i feel overwhelmed sometimes.,YES
No pain recently,NO
i'm not struggling.,NO
not at all,NO
I'm resting well,NO
my appetite has changed.,YES
a little a bit,YES
things are okay.,NO
yes.,YES
i've been okay lately kind of,NO
i have pain sometimes,YES
i'm not struggling these days,NO
It's been bothering me,YES
no these days,NO
i think i'm okay.,NO
i don't think so.,NO
things feel hard.,YES
i feel anxious,YES
it's been bothering me,YES
things are going alright these days,NO
my body feels fine.,NO
I feel sad sometimes,YES
i've been feeling normal.,NO
i feel anxious a bit,YES
i haven't noticed anything kind of,NO
there has been some pain kind of,YES
i feel stable,NO
it has been hard recently.,YES
i'm feeling emotional honestly,YES
i'm resting well honestly,NO
i feel stressed these days,YES
i feel relaxed kind of,NO
i feel stable sometimes,NO
A little,YES
often sometimes,YES
i have not been okay.,YES
i haven't had issues recently,NO
yep,YES
i'm not uncomfortable these days,NO
i feel exhausted,YES
my sleep has been okay these days,NO
i feel okay recently,NO
i feel uneasy sometimes,YES
I don't feel alright,YES
I've been comfortable,NO
it's been difficult lately kind of,YES
i feel calm,NO
no problems recently,NO
my energy has been low.,YES
I feel uneasy,YES
my sleep has been okay sometimes,NO
Nothing has been bothering me,NO
I've not been feeling myself,YES
idk honestly,NO
I've been feeling sick,YES
i'm having trouble sleeping sometimes,YES
i've had trouble resting kind of,YES
i've had some pain recently,YES
i don't have pain sometimes,NO
i'm resting well,NO
i'm having trouble sleeping these days,YES
i feel upset these days.,YES
i'm okay these days.,NO
i'm feeling emotional these days,YES
i'm having trouble sleeping,YES
i feel uneasy,YES
i'm feeling fine,NO
i feel good mostly.,NO
things feel hard honestly,YES
a little.,YES
i'm not doing very well,YES
i feel uneasy.,YES
i'm feeling emotional recently,YES
i feel healthy a bit,NO
I feel exhausted,YES
i've been feeling normal these days,NO
i feel good mostly recently,NO
a little these days,YES
yeah honestly,YES
i've been doing okay,NO
i feel okay.,NO
not really.,NO
i feel anxious honestly,YES
i'm having trouble sleeping honestly,YES
i've been doing okay kind of,NO
no pain recently.,NO
Things are fine lately,NO
i've been comfortable honestly,NO
a little,YES
I feel good mostly,NO
Things are okay,NO
a little sometimes,YES
maybe not.,NO
i've been feeling alright these days,NO
I'm not struggling,NO
i have not been okay,YES
i'm feeling emotional.,YES
Doing fine,NO
I'm managing well,NO
my energy feels normal kind of,NO
i feel relaxed,NO
often kind of,YES
i'm resting well.,NO
My energy feels normal,NO
I feel upset these days,YES
I'm okay for now,NO
i'm okay for now a bit,NO
i've been feeling sick recently,YES
i've had a difficult week,YES
I feel relaxed,NO
i've not been feeling myself.,YES
it's been bothering me sometimes,YES
maybe not these days,NO
my sleep has been okay.,NO
i've not been feeling myself,YES
i'm not doing very well.,YES
i feel healthy sometimes,NO
my body hurts.,YES
often,YES
Not really okay lately,YES
i feel healthy.,NO
I've been having headaches,YES
my body feels fine these days,NO
i don't feel alright,YES
i've had a difficult week sometimes,YES
i feel relaxed a bit,NO
i have been tired,YES
yes,YES
my body feels okay honestly,NO
not really,NO
yeah these days,YES
i feel relaxed these days,NO
i've been feeling alright,NO
i feel exhausted sometimes,YES
I've been struggling lately,YES
i feel sad sometimes recently,YES
i've been feeling down lately.,YES
i've been having headaches.,YES
idk.,NO
no problems recently kind of,NO
i have pain,YES
i don't think so honestly,NO
i'm not doing very well recently,YES
not really okay lately,YES
Things are going alright,NO
i'm managing well sometimes,NO
i think i'm okay honestly,NO
my sleep has changed recently,YES
i feel weak sometimes sometimes,YES
I feel stable,NO
I don't have pain,NO
everything feels normal sometimes,NO
i feel good.,NO
i feel weak sometimes,YES
things are going alright recently,NO
I feel low these days,YES
i feel uncomfortable lately,YES
I've been sleeping well,NO
i feel upset these days,YES
i'm alright kind of,NO
i'm doing pretty well these days,NO
i feel okay honestly,NO
i feel good sometimes,NO
i'm resting well these days,NO
things are fine lately recently,NO
i don't have pain.,NO
i feel uncomfortable lately honestly,YES
i haven't had issues.,NO
i feel stable a bit,NO
i feel sad sometimes,YES
i've been having headaches sometimes,YES
my body feels sore a bit,YES
i've been okay lately honestly,NO
not really okay lately sometimes,YES
Everything feels normal,NO
I haven't had issues,NO
i've been feeling sick.,YES
I feel stressed out,YES
i feel low these days these days,YES
i'm okay for now these days,NO
i've been comfortable.,NO
i'm resting well recently,NO
yes these days,YES
not really okay lately honestly,YES
my body feels sore these days,YES
i'm okay for now kind of,NO
i've had trouble resting these days,YES
my sleep has been bad a bit,YES
things are going alright honestly,NO
my sleep has changed a bit,YES
i've been feeling down lately,YES
i feel comfortable.,NO
i've been hurting,YES
i feel uncomfortable kind of,YES
Yep,YES
i feel calm these days,NO
I have pain,YES
Nothing much,NO
not really okay lately these days,YES
i feel weak sometimes.,YES
i feel uneasy a bit,YES
my appetite has changed honestly,YES
i feel overwhelmed sometimes recently,YES
my sleep has been bad recently,YES
i feel upset these days a bit,YES
It's been difficult lately,YES
everything seems okay,NO
Not feeling good today,YES
sometimes sometimes,YES
My body feels okay,NO
i feel low these days recently,YES
Maybe not,NO
i feel stressed,YES
i feel stressed honestly,YES
no pain recently a bit,NO
things are fine lately.,NO
i'm okay for now.,NO
i've been worried these days,YES
it has been hard recently these days,YES
I feel calm,NO
Not really,NO
i've been uncomfortable,YES
i've been worried honestly,YES
my appetite has changed these days,YES
i don't feel well honestly,YES
i don't think so,NO
I feel uncomfortable,YES
my body feels sore.,YES
i've been struggling lately.,YES
nothing much.,NO
i've not been feeling myself a bit,YES
i've had a difficult week kind of,YES
i've been worried,YES
my body feels fine sometimes,NO
i haven't noticed anything,NO
i've been having headaches recently,YES
not feeling good today,YES
often.,YES
not much honestly,NO
my body hurts,YES
my body feels fine,NO
not really okay lately a bit,YES
i feel comfortable honestly,NO
I feel alright mostly,NO
i'm having trouble sleeping recently,YES
i haven't had issues a bit,NO
i feel weak sometimes honestly,YES
I feel uncomfortable lately,YES
things are okay,NO
i've been comfortable sometimes,NO
i've had some pain recently kind of,YES
i'm having trouble sleeping kind of,YES
yeah.,YES
i feel low these days,YES
Idk,NO
no pain recently recently,NO
i've been feeling sick a bit,YES
Often,YES
it's been difficult lately,YES
i feel okay kind of,NO
my body feels okay kind of,NO
yeah,YES
i feel stressed out honestly,YES
i'm not doing very well these days,YES
yep these days,YES
i'm okay these days,NO
not feeling good today.,YES
everything seems okay.,NO
it's been difficult lately.,YES
I've been feeling alright,NO
My sleep has been bad,YES
I feel okay,NO
my energy feels normal,NO
i'm alright recently,NO
I don't think so,NO
i'm managing well recently,NO
my energy has been low kind of,YES
not at all.,NO
idk recently,NO
my sleep has been okay a bit,NO
maybe not sometimes,NO
My body hurts,YES
i have been tired kind of,YES
i've been okay lately,NO
things feel hard sometimes,YES
not really sometimes,NO
Not at all,NO
no.,NO
it has been hard recently sometimes,YES
i've been feeling down lately recently,YES
things have been manageable a bit,NO
my sleep has changed kind of,YES
My energy has been low,YES
i've had some pain recently recently,YES
it's been bothering me.,YES
i feel good these days,NO
idk these days,NO
i don't feel alright.,YES
doing fine these days,NO
nothing has been bothering me honestly,NO
things have been manageable kind of,NO
i don't have pain,NO
my sleep has changed these days,YES
it has been hard recently kind of,YES
my appetite has changed kind of,YES
i've not been feeling myself kind of,YES
yep.,YES
i've been feeling down lately kind of,YES
my sleep has been bad,YES
It has been hard recently,YES
I'm not uncomfortable,NO
i've not been feeling myself recently,YES
i feel uncomfortable recently,YES
i've been worried.,YES
my body feels sore,YES
i've had some pain recently sometimes,YES
i've not been feeling myself these days,YES
Everything seems okay,NO
things are okay recently,NO
no pain recently,NO
no,NO
i feel stable.,NO
i haven't had issues sometimes,NO
i'm doing pretty well recently,NO
my sleep has been bad.,YES
i feel upset these days kind of,YES
a little honestly,YES
everything feels normal,NO
i feel exhausted honestly,YES
not really okay lately.,YES
maybe not honestly,NO
everything feels normal honestly,NO
i've been feeling sick,YES
i have pain a bit,YES
i've been struggling lately honestly,YES
a little kind of,YES
my body hurts recently,YES
i feel stressed out,YES
i'm managing well kind of,NO
there has been some pain,YES
i've been hurting.,YES
my energy feels normal.,NO
my body hurts these days,YES
There has been some pain,YES
i feel uncomfortable lately kind of,YES
i'm not struggling,NO
not much honestly.,NO
i've been feeling alright honestly,NO
my sleep has changed.,YES
i've been comfortable,NO
I feel comfortable,NO
yes kind of,YES
i haven't had issues,NO
yep kind of,YES
often a bit,YES
i feel good mostly these days,NO
i've been uncomfortable kind of,YES
i'm not struggling a bit,NO
i've been uncomfortable recently,YES
i feel stressed out.,YES
not feeling good today honestly,YES
I haven't noticed anything,NO
sometimes these days,YES
i don't feel well.,YES
my body feels okay,NO
my appetite has changed,YES
i feel okay sometimes,NO
doing fine kind of,NO
i feel uncomfortable honestly,YES
i don't have pain these days,NO
nothing has been bothering me kind of,NO
i'm resting well a bit,NO
i feel overwhelmed sometimes sometimes,YES
i feel upset these days recently,YES
i feel relaxed sometimes,NO
i think i'm okay,NO
i feel alright mostly recently,NO
i'm okay these days these days,NO
my energy has been low these days,YES
My body feels sore,YES
i'm feeling fine.,NO
not feeling good today sometimes,YES
i feel good honestly,NO
there has been some pain recently,YES
i've had trouble resting recently,YES
i've been hurting recently,YES
No,NO
no problems recently sometimes,NO
no problems recently.,NO
i feel uncomfortable these days,YES
i don't have pain a bit,NO
doing fine.,NO
yes honestly,YES
I'm feeling emotional,YES
i'm managing well.,NO
things are fine lately kind of,NO
i've been sleeping well,NO
No problems recently,NO
I've been feeling down lately,YES
my sleep has changed,YES
i've been doing okay honestly,NO
my appetite has changed a bit,YES
i feel upset these days sometimes,YES
i haven't noticed anything.,NO
no problems recently honestly,NO
my body hurts honestly,YES
i've been uncomfortable these days,YES
I've been uncomfortable,YES
i feel okay these days,NO
idk,NO
i haven't had issues kind of,NO
I feel stressed,YES
i've had trouble resting.,YES
i've been sleeping well sometimes,NO
i feel good mostly sometimes,NO
I've had a difficult week,YES
i think i'm okay kind of,NO
i feel stressed.,YES
I've been okay lately,NO
i feel anxious.,YES
I've been feeling normal,NO
I have not been okay,YES
i'm doing pretty well.,NO
my sleep has been okay,NO
i'm not doing very well honestly,YES
i'm alright,NO
sometimes,YES
i have been tired.,YES
Things feel hard,YES
i've been okay lately.,NO
I've been hurting,YES
i feel relaxed.,NO
i've been feeling normal kind of,NO
i'm managing well these days,NO
my body feels okay.,NO
i've been comfortable kind of,NO
i feel uncomfortable lately.,YES
i don't feel well,YES
i'm doing pretty well,NO
nothing much sometimes,NO
i feel stressed out a bit,YES
not really these days,NO
I'm feeling fine,NO
i feel good mostly kind of,NO
i've had some pain recently.,YES
i feel good a bit,NO
i've been feeling alright recently,NO
i've been doing okay.,NO
i've been hurting sometimes,YES
i've been feeling normal,NO
i'm feeling emotional kind of,YES
things feel hard a bit,YES
i'm not uncomfortable.,NO
I feel healthy,NO
Yeah,YES
My body feels fine,NO
i feel good kind of,NO
i'm feeling fine honestly,NO
i've been feeling sick these days,YES
I feel overwhelmed sometimes,YES
I'm okay these days,NO
i feel anxious kind of,YES
i've been sleeping well a bit,NO
my energy feels normal recently,NO
things have been manageable,NO
yeah a bit,YES
nothing much,NO
there has been some pain.,YES
Not much honestly,NO
things have been manageable.,NO
I'm having trouble sleeping,YES
my appetite has changed sometimes,YES
i feel low these days.,YES
i feel uncomfortable.,YES
my sleep has been bad honestly,YES
nothing has been bothering me,NO
i don't feel alright a bit,YES
everything feels normal.,NO
i've had a difficult week.,YES
things feel hard,YES
nothing much recently,NO
i've been feeling alright.,NO
my energy feels normal a bit,NO
i've been sleeping well.,NO
my sleep has been bad these days,YES
maybe not,NO
i've been having headaches these days,YES
doing fine,NO
my body feels sore sometimes,YES
not at all these days,NO
i'm not uncomfortable sometimes,NO
it has been hard recently,YES
i'm having trouble sleeping.,YES
my sleep has been okay recently,NO
i'm feeling emotional,YES
things are fine lately these days,NO
i've been uncomfortable.,YES
i've been feeling normal sometimes,NO
I feel anxious,YES
sometimes.,YES
i feel okay,NO
I've had some pain recently,YES
i'm doing pretty well sometimes,NO
i feel sad sometimes kind of,YES
My sleep has been okay,NO
i feel healthy,NO
I don't feel well,YES
not feeling good today kind of,YES
I think i'm okay,NO
i feel calm.,NO
i feel healthy honestly,NO
i don't think so these days,NO
i don't have pain honestly,NO
nothing has been bothering me.,NO
i feel comfortable,NO
i'm alright.,NO
it has been hard recently honestly,YES
i feel alright mostly these days,NO
i've had trouble resting,YES
i'm not doing very well kind of,YES
Yes,YES
no honestly,NO
i feel exhausted.,YES
I've been doing okay,NO
I have been tired,YES
things are okay a bit,NO
i have been tired these days,YES
nothing has been bothering me these days,NO
my body feels sore kind of,YES
I'm not doing very well,YES
i feel stressed a bit,YES
i've had trouble resting honestly,YES
I'm doing pretty well,NO
Sometimes,YES
i have not been okay recently,YES
i have not been okay honestly,YES
i feel good mostly,NO
I feel good,NO
i'm managing well a bit,NO
i'm not uncomfortable kind of,NO
things are okay these days,NO
things are okay kind of,NO
things are fine lately,NO
i feel alright mostly,NO
i'm feeling fine recently,NO
i'm feeling fine these days,NO
I've been worried,YES
i've been sleeping well recently,NO
i'm okay these days a bit,NO
i'm not uncomfortable,NO
i've been struggling lately,YES
i'm not doing very well sometimes,YES
i feel good recently,NO
I'm alright,NO
things are going alright,NO
i feel alright mostly.,NO
not really okay lately recently,YES
not feeling good today a bit,YES
i feel stable recently,NO
i've not been feeling myself sometimes,YES
i've had some pain recently honestly,YES
My appetite has changed,YES
i feel overwhelmed sometimes,YES
i don't feel alright these days,YES
i've been having headaches,YES
i feel calm honestly,NO
my body hurts kind of,YES
Things have been manageable,NO
i haven't noticed anything honestly,NO
